PRODUCT,PRODUCT ID,PHYSICAL,LOGICAL,GMI FC,R&N A.C.N,GROUP,CLEARING ADMIN,CLEARING VENUE,MIC CODE,BUYER PAY INDEX (COMMODITY REFERENCE PRICE),CFTC REPORTABLE LEVEL,PAIRED SWAP BASIS,POSITION TYPE INDICATOR,SECTION 20.2 COVERED FUTURES CONTRACT,SELLER PAY INDEX (COMMODITY REFERENCE PRICE)
Diesel Diff - Diesel 10ppm CIF NWE (Le Havre) Cargoes vs Gasoil 1st Line Future,2569,DCG,DCG,,,Crude Oil and Refined Products,Ref Diffs mt,ICEU,IFEU,,,,,,
Diesel 10ppm (UK) CIF NWE Cargoes Future,2568,DCN,DCN,,,Crude Oil and Refined Products,Ref Outright mt,ICEU,IFEU,,,,,,
Diesel Diff - Diesel 10ppm (UK) CIF NWE Cargoes vs Gasoil 1st Line Future,2457,DCU,DCU,,,Crude Oil and Refined Products,Ref Diffs mt,ICEU,IFEU,,,,,,
DAILY DATED BRENT FUTURE,4355,DDB,DDB,,,Crude Oil and Refined Products,Crude Outrights,ICEU,IFEU,,,,,,
Option on PJM AEP Dayton Hub Real-Time Peak Daily Look Back Fixed Price Future,3965,DDO,DDP,,,Electricity,Pwr East Daily,ICEU,IFED,,,,,,
PJM AEP Dayton Hub Real-Time Peak Daily Look Back Fixed Price Future,3965,DDO,DDP,,,Electricity,Pwr East Daily,ICEU,IFED,,,,,,
PJM AEP Dayton Hub Real-Time Peak Daily Fixed Price Future,410,DDP,DDP,DP,L778,Electricity,Pwr East Daily,ICEU,IFED,,,,,,
NNG Demarc Index Future,3032,DEI,DEI,,,Natural Gas,Index Master,ICEU,IFED,,,,,,
NNG Demarc Basis Future,449,DEM,DEM,OD,NG65,Natural Gas,Basis Master,ICEU,IFED,,,,,,
NNG Demarc Swing Future,479,DES,DES,,,Natural Gas,Swing Master,ICEU,IFED,,,,,,
Diesel Diff - Diesel 10ppm FOB Rotterdam Barges vs Gasoil 1st Line Future,1471,DFG,DFG,DF,QH70,Crude Oil and Refined Products,Ref Diffs mt,ICEU,IFEU,,,,,,
Diesel Diff - Diesel 10ppm FOB Rotterdam Barges vs Gasoil 50ppm FOB Rotterdam Barges Future,3150,DFI,DFI,,,Crude Oil and Refined Products,Ref Diffs mt,ICEU,IFEU,,,,,,
Chicago Basis Future,452,DGD,DGD,NC,NA88,Natural Gas,Basis Master,ICEU,IFED,,,,,,
Diesel Diff - Diesel 10ppm CIF NWE (Le Havre) Cargoes vs Gasoil 1st Line Balmo Future,2915,DHA-DHZ; DIA-DIE,DCH,,,Crude Oil and Refined Products,Ref Diffs mt,ICEU,IFEU,,,,,,
Dominion South Index Future,1631,DIS,DIS,ZB,QM92,Natural Gas,Index Master,ICEU,IFED,,,,,,
Fuel Oil 1% FOB Med Cargoes Balmo Future,2562,DJA-DJZ; DKA-DKE,OPN,,,Crude Oil and Refined Products,Ref Outright mt,ICEU,IFEU,,,,,,
Fuel Oil Diff - Fuel Oil 1% FOB Rotterdam Barges vs 1% FOB NWE Cargoes Balmo Future,2564,DLA-DLZ; DMA-DME,FBD,,,Crude Oil and Refined Products,Ref Diffs mt,ICEU,IFEU,,,,,,
Diesel Diff - ULSD 10ppm CIF Med Cargoes vs Gasoil 1st Line Future,1751,DMG,DMG,DM,SF43,Crude Oil and Refined Products,Ref Diffs mt,ICEU,IFEU,,,,,,
Dominion South Basis Future,440,DOM,DOM,NL,NE88,Natural Gas,Basis Master,ICEU,IFED,,,,,,
Diesel 10ppm FOB Rotterdam Barges Future,2570,DOR,DOR,,,Crude Oil and Refined Products,Ref Outright mt,ICEU,IFEU,,,,,,
CAISO NP-15 Day-Ahead Peak Daily Fixed Price Future,750,DPN,DPN,DN,OU43,Electricity,Pwr West Daily,ICEU,IFED,,,,,,
Dominion South Swing Future,475,DSS,DSS,YY,QM82,Natural Gas,Swing Master,ICEU,IFED,,,,,,
Fuel Oil Diff - Fuel Oil 3.5% FOB Med Cargoes vs 3.5% FOB Rotterdam Barges Balmo Future,2565,DTA-DTZ; DUA-DUE,NVT,,,Crude Oil and Refined Products,Ref Diffs mt,ICEU,IFEU,,,,,,
Gasoil Diff - Gasoil 0.1% CIF NWE Cargoes vs Gasoil 1st Line Balmo Future,2559,DVA-DVZ; DWA-DWE,CFH,,,Crude Oil and Refined Products,Ref Diffs mt,ICEU,IFEU,,,,,,
Durum Wheat Futures,3655,DW,DW,,,Grains - Canada,Durum Wheat,ICCA,IFCA,,,,,,
Durum Wheat Options,3655,DW,DW,,,Grains - Canada,Durum Wheat,ICCA,IFCA,,,,,,
Union Dawn Basis Future,547,DWN,DWN,PS,NO07,Natural Gas,Basis Master,ICEU,IFED,,,,,,
ICE US Dollar Index&reg; Futures,608,DX,DX ,XD,2211,ICE U.S. Dollar Index (USDX),US Dollar Index,ICUS,IFUS,,,,,,
ICE US Dollar Index&reg; Futures TAS,1844,DX,DX ,XD,2211,ICE U.S. Dollar Index (USDX),US Dollar Index,ICUS,IFUS,,,,,,
ICE US Dollar Index&reg; Options,608,DX,DX ,XD,2211,ICE U.S. Dollar Index (USDX),US Dollar Index,ICUS,IFUS,,,,,,
Gasoil Diff - Gasoil 0.1% FOB Rotterdam Barges vs Gasoil 1st Line Balmo Future,2561,DXA-DXZ; DYA-DYE,RFH,,,Crude Oil and Refined Products,Ref Diffs mt,ICEU,IFEU,,,,,,
Diesel Diff - ULSD 10ppm CIF Med Cargoes vs Gasoil 1st Line Balmo Future,3145,DYF-DYZ; DZA-DZJ,DMH,,,Crude Oil and Refined Products,Ref Diffs mt,ICEU,IFEU,,,,,,
Naphtha CIF NWE Cargoes Balmo Future,2567,EAA-EAZ; EBA-EBE,NEE,,,Crude Oil and Refined Products,Ref Outright mt,ICEU,IFEU,,,,,,
"Ethane in E/P Mix, OPIS Mt. Belvieu  Non-TET, Fixed Price Future",3265,ECB,ECB,,,Natural Gas Liquids,NGL Master,ICEU,IFEU,,,,,,
"Ethane in E/P Mix, OPIS Conway In-Well, Fixed Price Future",3264,ECC,ECC,,,Natural Gas Liquids,NGL Master,ICEU,IFEU,,,,,,
ICE EUA UK Auction Daily Futures,4268,ECG,ECG,,,Emissions,EUA UK Auction,ICEU,IFEU,,,,,,
EUA Phase 3 Daily Futures,4301,ECP,ECP,,,Emissions,EUA P3 Daily,ICEU,IFEU,,,,,,
EUA Phase 2 Daily Futures,1658,ECS,ECS,EC,,Emissions,EUA P2 Daily,ICEU,IFEU,,,,,,
ERCOT Houston Load Zone Real-Time Peak Fixed Price Future,2449,EDH,EDH,,,Electricity,Pwr East Mini,ICEU,IFED,,,,,,
ERCOT North Load Zone Real-Time Peak Fixed Price Future,2450,EDN,EDN,,,Electricity,Pwr East Mini,ICEU,IFED,,,,,,
ISO New England Massachusetts Hub Day-Ahead Peak Daily Fixed Price Future,551,EDP,EDP,QA,NO10,Electricity,Pwr East Daily,ICEU,IFED,,,,,,
Option on ISO New England Massachusetts Hub Day-Ahead Peak Daily Fixed Price Future,551,EDP,EDP,QA,NO10,Electricity,Pwr East Daily,ICEU,IFED,,,,,,
ERCOT South Load Zone Real-Time Peak Fixed Price Future,2451,EDS,EDS,,,Electricity,Pwr East Mini,ICEU,IFED,,,,,,
ERCOT West Load Zone Real-Time Peak Fixed Price Future,2452,EDW,EDW,,,Electricity,Pwr East Mini,ICEU,IFED,,,,,,
"Ethane, OPIS Mt. Belvieu Non-TET, Fixed Price Balmo Future",2524,EEA-EEZ; EFA-EFE,ETF,,,Natural Gas Liquids,NGL Master,ICEU,IFEU,,,,,,
"Propane, Argus Far East vs Propane, Argus CIF ARA, Differential Future",3262,EGD,EGD,,,Natural Gas Liquids,NGL Master,ICEU,IFEU,,,,,,
ERCOT Houston 345KV Real-Time Peak Daily Fixed Price Future,1621,EHD,EHD,YJ,QM67,Electricity,Pwr East Daily,ICEU,IFED,,,,,,
PG&E Citygate Index Future,463,EIS,EIS,Y5,QM87,Natural Gas,Index Master,ICEU,IFED,,,,,,
Gasoil 0.1% FOB Rotterdam Barges Balmo Future,2560,EJA-EJZ; EKA-EKE,GOG,,,Crude Oil and Refined Products,Ref Outright mt,ICEU,IFEU,,,,,,
Jet CIF NWE Cargoes Balmo Future,2566,ELA-ELZ; EMA-EME,JCO,,,Crude Oil and Refined Products,Ref Outright mt,ICEU,IFEU,,,,,,
ERCOT North 345KV Real-Time Peak Daily Fixed Price Future,1622,END,END,YK,QM68,Electricity,Pwr East Daily,ICEU,IFED,,,,,,
ERCOT North 345KV Hub Real-Time Peak Daily Look Back Fixed Price Future ,3964,ENO,END,,,Electricity,Pwr East Daily,ICEU,IFED,,,,,,
Option on ERCOT North 345KV Hub Real-Time Peak Daily Look Back Fixed Price Future ,3964,ENO,END,,,Electricity,Pwr East Daily,ICEU,IFED,,,,,,
Gasoline Crack - Argus Euro-Bob Oxy FOB Rotterdam Barges vs Brent 1st Line Future,1890,EOB,EOB,BG,SN22,Crude Oil and Refined Products,Cracks mt,ICEU,IFEU,,,,,,
ARGUS EURO-BOB OXY FOB ROTTERDAM BARGES VS PLATTS NAPHTHA CIF NWE CARGOES FUTURE,4354,EON,EON,,,Crude Oil and Refined Products,Ref Diffs mt,ICEU,IFEU,,,,,,
Diesel Diff - ULSD 10ppm CIF NWE Cargoes vs Gasoil 1st Line Balmo Future,2846,EPA-EPZ; EQA-EQE,NFH,,,Crude Oil and Refined Products,Ref Diffs mt,ICEU,IFEU,,,,,,
ERCOT Houston 345KV Real-Time Peak Fixed Price Future,542,ERH,ERH,PT,NO14,Electricity,Pwr East Term,ICEU,IFED,,,,,,
ERCOT North 345KV Real-Time Peak Fixed Price Future,543,ERN,ERN,PU,NO15,Electricity,Pwr East Term,ICEU,IFED,,,,,,
Option on ERCOT North 345KV Real-Time Peak Fixed Price Future,543,ERN,ERN,PU,NO15,Electricity,Pwr East Term,ICEU,IFED,,,,,,
ERCOT South 345KV Real-Time Peak Fixed Price Future,544,ERS,ERS,PW,NO16,Electricity,Pwr East Term,ICEU,IFED,,,,,,
ERU Futures,2476,ERU,ERU,,,Emissions,ERU,ICEU,IFEU,,,,,,
ERU Futures Options,2476,ERU,ERU,,,Emissions,ERU,ICEU,IFEU,,,,,,
ERCOT West 345KV Real-Time Peak Fixed Price Future,1620,ERW,ERW,YI,QM66,Electricity,Pwr East Term,ICEU,IFED,,,,,,
ERCOT South 345KV Real-Time Peak Daily Fixed Price Future,1623,ESD,ESD,YL,QM69,Electricity,Pwr East Daily,ICEU,IFED,,,,,,
Platts East Siberian Pacific Ocean (ESPO) Future,3093,ESO,ESO,,,Crude Oil and Refined Products,Crude Outrights,ICEU,IFEU,,,,,,
Crude Diff - Platts East Siberian Pacific Ocean (ESPO) Diff Future,3092,ESP,ESP,,,Crude Oil and Refined Products,Crude Diffs,ICEU,IFEU,,,,,,
Chicago Ethanol Future,3975,ETC,ETC,,,Crude Oil and Refined Products,RefOutright bbl,ICEU,IFEU,,,,,,
"Average Price Option on Ethane, OPIS Mt. Belvieu Non-TET, Fixed Price Future",1507,ETE,ETE,19-ET,QJ67,Natural Gas Liquids,NGL Master,ICEU,IFEU,,,,,,
"Ethane, OPIS Mt. Belvieu Non-TET, Fixed Price Future",1507,ETE,ETE,19-ET,QJ67,Natural Gas Liquids,NGL Master,ICEU,IFEU,,,,,,
New York Ethanol Future,3976,ETN,ETN,,,Crude Oil and Refined Products,RefOutright bbl,ICEU,IFEU,,,,,,
Diesel Diff - Diesel 10ppm FOB Rotterdam Barges vs Gasoil 1st Line Balmo Future,2847,EUA-EUZ; EVA-EVE,DFH,,,Crude Oil and Refined Products,Ref Diffs mt,ICEU,IFEU,,,,,,
ERCOT North 345KV Day-Ahead Peak Fixed Price Future,2607,EVN,EVN,,,Electricity,Pwr East Mini,ICEU,IFED,,,,,,
ERCOT West 345KV Real-Time Peak Daily Fixed Price Future,1624,EWD,EWD,YM,QM70,Electricity,Pwr East Daily,ICEU,IFED,,,,,,
Euro Currency Pairs Euro/Czech Koruna Futures,794,EZ,EZ ,,,Currency,FOREX,ICUS,IFUS,,,,,,
ICE ASCI Future,2047,F,CRD,BA,TS86,Crude Oil and Refined Products,ICE WTI,ICEU,IFEU,,,,,,
Argus FAME Zero Biodiesel FOB Rotterdam Future,2086,FAM,FAM,HJ,T037,Crude Oil and Refined Products,Ref Outright mt,ICEU,IFEU,,,,,,
Fuel Oil Diff - Fuel Oil 1% FOB Rotterdam Barges vs 1% FOB NWE Cargoes Future,200,FBC,FBC,FB,QH72,Crude Oil and Refined Products,Ref Diffs mt,ICEU,IFEU,,,,,,
Fuel Oil Diff - Fuel Oil 1% FOB Rotterdam Barges vs 1% CIF NWE Cargoes Future,3154,FBE,FBE,,,Crude Oil and Refined Products,Ref Diffs mt,ICEU,IFEU,,,,,,
Diesel 10ppm FOB Rotterdam Barges Bullet Future,2927,FBG,FBG,,,Crude Oil and Refined Products,Ref Outright mt,ICEU,IFEU,,,,,,
Fuel Oil Diff - Fuel Oil 1% FOB NWE Cargoes vs 3.5% FOB Rotterdam Barges Balmo Future,2563,FCA-FCZ; FDA-FDE,FOT,,,Crude Oil and Refined Products,Ref Diffs mt,ICEU,IFEU,,,,,,
Naphtha C+F Japan Balmo Future,2848,FEA-FEZ; FFA-FFE,NJD,,,Crude Oil and Refined Products,Ref Outright mt,ICEU,IFEU,,,,,,
Jet Fuel Diff - Singapore Jet Kero vs Singapore 0.5% Gasoil Balmo Future,2849,FGA-FGZ; FHA-FHE,SVT,,,Crude Oil and Refined Products,Ref Diffs bbl,ICEU,IFEU,,,,,,
Naphtha Crack - Naphtha CIF NWE Cargoes vs Brent 1st Line Balmo Future,2850,FJA-FJZ; FKA-FKE,NCB,,,Crude Oil and Refined Products,Cracks mt,ICEU,IFEU,,,,,,
Gasoil 50ppm FOB Rotterdam Barges Balmo Future,2845,FLA-FLZ; FMA-FME,GSB,,,Crude Oil and Refined Products,Ref Outright mt,ICEU,IFEU,,,,,,
Fuel Oil 1% FOB Rotterdam Barges Future,223,FOB,FOB,FO,QH73,Crude Oil and Refined Products,Ref Outright mt,ICEU,IFEU,,,,,,
Fuel Oil Diff - New York 1% Fuel Oil vs USGC 3% Fuel Oil Future,2458,FOD,FOD,,,Crude Oil and Refined Products,Ref Diffs bbl,ICEU,IFEU,,,,,,
Fuel Oil Diff - New York 1% Fuel Oil vs 1% FOB NWE Cargoes Fuel Oil Future,2079,FOH,FOH,5N,T039,Crude Oil and Refined Products,Ref Diffs bbl,ICEU,IFEU,,,,,,
Fuel Oil Crack - New York 1% Fuel Oil vs WTI 1st Line Future,2471,FOK,FOK,,,Crude Oil and Refined Products,Cracks bbl,ICEU,IFEU,,,,,,
Fuel Oil 3.5% FOB Med Cargoes Future,222,FOM,FOM,O5,T034,Crude Oil and Refined Products,Ref Outright mt,ICEU,IFEU,,,,,,
Fuel Oil Diff - Fuel Oil 1 % FOB Rotterdam Barges vs 1% FOB Med Cargoes Future,3557,FOP,FOP,,,Crude Oil and Refined Products,Ref Diffs mt,ICEU,IFEU,,,,,,
Fuel Oil Diff - Fuel Oil 1% FOB NWE Cargoes vs 3.5% FOB Rotterdam Barges Future,26,FOS,FOS,OX,NM81,Crude Oil and Refined Products,Ref Diffs mt,ICEU,IFEU,,,,,,
Fuel Oil Outright - New York 1% Fuel Oil Future,19,FOW,FOW,,,Crude Oil and Refined Products,RefOutright bbl,ICEU,IFEU,,,,,,
USGC 3% Fuel Oil Balmo Future,2920,FPA-FPZ; FQA-FQE,RBP,,,Crude Oil and Refined Products,RefOutright bbl,ICEU,IFEU,,,,,,
Fuel Oil Outright - New York 1% Fuel Oil Balmo Future,2921,FRA-FRZ; FSA-FSE,FOX,,,Crude Oil and Refined Products,RefOutright bbl,ICEU,IFEU,,,,,,
FUEL OIL STRAIGHT RUN 0.5-0.7% FOB NWE CARGOES FUTURE,4353,FSR,FSR,,,Crude Oil and Refined Products,Ref Outright mt,ICEU,IFEU,,,,,,
Florida Gas Zone 3 Index Future,3030,FTI,FTI,,,Natural Gas,Index Master,ICEU,IFED,,,,,,
Florida Gas Zone 3 Swing Future,3039,FTS,FTS,,,Natural Gas,Swing Master,ICEU,IFED,,,,,,
Florida Gas Zone 3 Basis Future,1877,FTZ,FTZ,AV,SN05,Natural Gas,Basis Master,ICEU,IFED,,,,,,
Fuel Oil Crack - Fuel Oil 1% FOB NWE Cargoes vs Brent 1st Line Future (in Bbls),4179,FVA,FVA,,,Crude Oil and Refined Products,Cracks bbl,ICEU,IFEU,,,,,,
Fuel Oil Crack - Fuel Oil 1% FOB NWE Cargoes vs Brent 1st Line Future ,1483,FVB,FVB,FV,SF44,Crude Oil and Refined Products,Cracks mt,ICEU,IFEU,,,,,,
ULSD 10ppm CIF NWE Cargoes Balmo Future,2918,FYA-FYZ; FZA-FZE,ULO,,,Crude Oil and Refined Products,Ref Outright mt,ICEU,IFEU,,,,,,
ICE Gasoil Futures,253,G,GAS,GL,950,Crude Oil and Refined Products,IPE e-Gas Oil,ICEU,IFEU,,,,,,
ICE Gasoil Futures Crack,294,G,GAS,,,Crude Oil and Refined Products,IPE Gas Oil Crk,ICEU,IFEU,,,,,,
ICE Gasoil Futures Singapore Minute Marker,1774,G,GAS,GL,950,Crude Oil and Refined Products,IPE e-Gas Oil,ICEU,IFEU,,,,,,
ICE Gasoil Futures TAS,255,G,GAS,GL,950,Crude Oil and Refined Products,IPE e-Gas Oil,ICEU,IFEU,,,,,,
ICE Gasoil Futures U.S. Minute Marker,1775,G,GAS,GL,950,Crude Oil and Refined Products,IPE e-Gas Oil,ICEU,IFEU,,,,,,
"ICE Gasoil, American-Style Option",599,G,GAS,GL,950,Crude Oil and Refined Products,IPE e-Gas Oil,ICEU,IFEU,,,,,,
ICE Gasoil-Brent NX Crack,3636,G,GAS,,,Crude Oil and Refined Products,GO/BNX Crack,ICEU,IFEU,,,,,,
Gasoil Diff - Gasoil 0.1% CIF Med Cargoes vs Gasoil 1st Line Balmo Future,2459,GBA-GBZ; GCA-GCE,GMH,,,Crude Oil and Refined Products,Ref Diffs mt,ICEU,IFEU,,,,,,
Gasoil 0.1% CIF Med Cargoes Future,2460,GCM,GCM,,,Crude Oil and Refined Products,Ref Outright mt,ICEU,IFEU,,,,,,
Fuel Oil Crack- USGC 3% Fuel Oil vs Brent 1st Line Future,2925,GCS,GCS,,,Crude Oil and Refined Products,Cracks bbl,ICEU,IFEU,,,,,,
Gasoil 0.1% CIF NWE Cargoes Future,2461,GCW,GCW,,,Crude Oil and Refined Products,Ref Outright mt,ICEU,IFEU,,,,,,
Gasoil Crack - Gasoil 1st Line vs Brent 1st Line Future (in Bbls),1468,GDC,GDC,GD,QH67,Crude Oil and Refined Products,Cracks bbl,ICEU,IFEU,,,,,,
NYISO Zone G Day-Ahead Peak Daily Fixed Price Future,549,GDP,GDP,PZ,NO09,Electricity,Pwr East Daily,ICEU,IFED,,,,,,
Gasoil Crack - Gasoil 0.1% CIF NWE Cargoes vs Brent 1st Line Future,1748,GEB,GEB,GE,SF42,Crude Oil and Refined Products,Cracks mt,ICEU,IFEU,,,,,,
Gasoil 0.1% CIF NWE Cargoes Balmo Future,2462,GFA-GFZ; GGA-GGE,GCX,,,Crude Oil and Refined Products,Ref Outright mt,ICEU,IFEU,,,,,,
Fuel Oil Diff - New York 1% Fuel Oil vs 1% FOB NWE Cargoes Fuel Oil Balmo Future,3147,GGF-GGZ; GHA-GHJ,FOI,,,Crude Oil and Refined Products,Ref Diffs bbl,ICEU,IFEU,,,,,,
Fuel Oil Diff - New York 1% Fuel Oil vs USGC 3% Fuel Oil Balmo Future,3148,GHK-GHZ; GIA-GIO,FOE,,,Crude Oil and Refined Products,Ref Diffs bbl,ICEU,IFEU,,,,,,
Fuel Oil Crack - New York 1% Fuel Oil vs WTI 1st Line Balmo Future,3075,GIP-GIZ; GJA-GJT,FOL,,,Crude Oil and Refined Products,Cracks bbl,ICEU,IFEU,,,,,,
Fuel Oil Diff - USGC 3% Fuel Oil vs 3.5% FOB Rotterdam Barges Fuel Oil Balmo Future,3076,GJU-GJZ; GKA-GKY,GOD,,,Crude Oil and Refined Products,Ref Diffs bbl,ICEU,IFEU,,,,,,
Singapore Naphtha Balmo Future,3146,GKZ;GLA-GLZ;GMA-GMD,NPU,,,Crude Oil and Refined Products,RefOutright bbl,ICEU,IFEU,,,,,,
Gasoil Diff - Gasoil 0.1% CIF Med Cargoes vs Gasoil 1st Line Future,1749,GMG,GMG,GM,SF40,Crude Oil and Refined Products,Ref Diffs mt,ICEU,IFEU,,,,,,
Cross Currency Pairs British Pound Sterling/New Zealand Dollar Futures,823,GN,GN ,,,Currency,FOREX,ICUS,IFUS,,,,,,
Gasoil 1-Month Calendar Spread Option,2391,GOA,GOA,HY,TO33,Crude Oil and Refined Products,Ref Outright mt,ICEU,IFEU,,,,,,
Gasoil Diff - Gasoil 1-Month Calendar Spread Future,2391,GOA,GOA,HY,TO33,Crude Oil and Refined Products,Ref Outright mt,ICEU,IFEU,,,,,,
Gasoil Bullet Future,1744,GOB,GAS,GB,SG29,Crude Oil and Refined Products,Ref Outright mt,ICEU,IFEU,,,,,,
Gasoil Crack - Gasoil 1st Line vs Brent 1st Line Future (in MTs),31,GOC,GOC,GO,OU45,Crude Oil and Refined Products,Cracks mt,ICEU,IFEU,,,,,,
Fuel Oil Diff - USGC 3% Fuel Oil vs 3.5% FOB Rotterdam Barges Fuel Oil Future,1891,GOE,GOE,BH,SN23,Crude Oil and Refined Products,Ref Diffs bbl,ICEU,IFEU,,,,,,
Gasoil 0.1% FOB Rotterdam Barges Future,2463,GOF,GOF,,,Crude Oil and Refined Products,Ref Outright mt,ICEU,IFEU,,,,,,
Diesel Diff - Gulf Coast ULSD vs Heating Oil 1st Line Future,2924,GOH,GOH,,,Crude Oil and Refined Products,Ref Diffs bbl,ICEU,IFEU,,,,,,
Gasoil 0.1% FOB Med Cargoes Future,2917,GOM,GOM,,,Crude Oil and Refined Products,Ref Outright mt,ICEU,IFEU,,,,,,
ICE German GASPOOL Natural Gas Futures,2508,GPM,GPM,,,Natural Gas,GASPOOL Nat Gas,ICEU,IFEU,,,,,,
Gasoil Crack - Gasoil 0.1% FOB Rotterdam Barges vs Brent 1st Line Future,1750,GRB,GRB,GR,SF41,Crude Oil and Refined Products,Cracks mt,ICEU,IFEU,,,,,,
Gasoil 50ppm FOB Rotterdam Barges Future,2841,GSA,GSA,,,Crude Oil and Refined Products,Ref Outright mt,ICEU,IFEU,,,,,,
Gasoil Crack - Gasoil 50ppm FOB Rotterdam Barges vs Brent 1st Line Future,2842,GSC,GSC,,,Crude Oil and Refined Products,Cracks mt,ICEU,IFEU,,,,,,
Gasoil Diff - Gasoil 50ppm FOB Rotterdam Barges vs Gasoil 1st Line Future,2843,GSD,GSD,,,Crude Oil and Refined Products,Ref Diffs mt,ICEU,IFEU,,,,,,
Gasoil 50ppm FOB Rotterdam Barges Bullet Future,3074,GSE,GSE,,,Crude Oil and Refined Products,Ref Outright mt,ICEU,IFEU,,,,,,
Gasoil Diff - Gasoil 50ppm FOB Rotterdam Barges vs Gasoil 0.1% FOB Rotterdam Barges Future,2844,GSF,GSF,,,Crude Oil and Refined Products,Ref Diffs mt,ICEU,IFEU,,,,,,
Gasoil 1st Line Future,320,GSP,GAS,GS,N706,Crude Oil and Refined Products,Ref Outright mt,ICEU,IFEU,,,,,,
Gasoil Average Price Option,320,GSP,GAS,GS,N706,Crude Oil and Refined Products,Ref Outright mt,ICEU,IFEU,,,,,,
Singapore Gasoil 10ppm Future,2919,GST,GST,,,Crude Oil and Refined Products,RefOutright bbl,ICEU,IFEU,,,,,,
Gasoil Diff - Singapore 10ppm Gasoil vs Singapore 0.5% Gasoil Future,3149,GSU,GSU,,,Crude Oil and Refined Products,Ref Diffs bbl,ICEU,IFEU,,,,,,
GASOIL DIFF SINGAPORE 10PPM GASOIL VS SINGAPORE GASOIL FUTURE,4077,GSW,GSW,ZQ,1292,Crude Oil and Refined Products,Ref Diffs bbl,ICEU,IFEU,,,,,,
Jet Fuel Crack - Gulf Coast Jet Fuel vs Brent 1ST Line Future,3253,GUB,GUB,,,Crude Oil and Refined Products,Cracks bbl,ICEU,IFEU,,,,,,
Fuel Oil Crack - USGC 3% Fuel Oil vs WTI 1st Line Future,166,GUF,GUF,,,Crude Oil and Refined Products,Cracks bbl,ICEU,IFEU,,,,,,
EU-Style Gasoil Future,1747,GUL,GAS,GU,SG30,Crude Oil and Refined Products,Ref Outright mt,ICEU,IFEU,,,,,,
EU-Style Gasoil Option,1747,GUL,GAS,GU,SG30,Crude Oil and Refined Products,Ref Outright mt,ICEU,IFEU,,,,,,
Gulf Coast ULSD Future,2464,GUU,GUU,,,Crude Oil and Refined Products,RefOutright bbl,ICEU,IFEU,,,,,,
Diesel Crack - Gulf Coast ULSD vs Brent 1st Line Future,4069,GUV,GUV,Y#,1285,Crude Oil and Refined Products,Cracks bbl,ICEU,IFEU,,,,,,
Diesel Crack - Gulf Coast ULSD vs WTI 1st Line Future,4070,GUW,GUW,Y@,1286,Crude Oil and Refined Products,Cracks bbl,ICEU,IFEU,,,,,,
Diesel Diff - Gulf Coast ULSD vs Low Sulphur Gasoil 1st Line Future,4071,GUX,GUX,Y=,1287,Crude Oil and Refined Products,Ref Diffs bbl,ICEU,IFEU,,,,,,
Diesel Diff - Gulf Coast ULSD vs Gasoil 1st Line Future,4072,GUY,GUY,ZM,1288,Crude Oil and Refined Products,Ref Diffs bbl,ICEU,IFEU,,,,,,
Henry LD1 Fixed Price Future,53,H,HNG,NN,R754,Natural Gas,Henry Nat Gas,ICEU,IFED,,,,,,
Henry LD1 Fixed Price Futures TAS,568,H,HNG,NN,R754,Natural Gas,Henry Nat Gas,ICEU,IFED,,,,,,
Heating Oil Crack - Heating Oil 1st Line vs Brent 1st Line Future,2922,HBT,HBT,,,Crude Oil and Refined Products,Cracks bbl,ICEU,IFEU,,,,,,
Heating Oil Crack - Heating Oil 1st Line vs WTI 1st Line Future,3070,HBW,HBW,,,Crude Oil and Refined Products,Cracks bbl,ICEU,IFEU,,,,,,
ERCOT Houston 345KV Hub Day-Ahead Peak Daily Fixed Price Future,2626,HEA,HEA,,,Electricity,Pwr E DailyMini,ICEU,IFED,,,,,,
ERCOT Houston 345KV Real-Time Off-Peak Fixed Price Future,1862,HEB,HEB,AE,SM92,Electricity,Pwr East OPMini,ICEU,IFED,,,,,,
ERCOT Houston 345KV Hub Day-Ahead Off-Peak Daily Fixed Price Future,2638,HEC,HEC,,,Electricity,Pwr E OPDayMini,ICEU,IFED,,,,,,
ERCOT Houston 345KV Real-Time Off-Peak Daily Fixed Price Future,1868,HED,HED,AI,SM96,Electricity,Pwr EastOPDaily,ICEU,IFED,,,,,,
Henry Basis Future,430,HEN,HEN,NH,NA89,Natural Gas,Basis Master,ICEU,IFED,,,,,,
Calendar Year One Time Option on Henry Calendar Year One Time Fixed Price Future,3548,HHC,HNG,,,Natural Gas,Henry Nat Gas,ICEU,IFED,,,,,,
Henry Calendar Year One Time Fixed Price Future,3548,HHC,HNG,,,Natural Gas,Henry Nat Gas,ICEU,IFED,,,,,,
Henry Swing Future,414,HHD,HHD,HH,L782,Natural Gas,SwSwp HH Daily,ICEU,IFED,,,,,,
Option on Henry Swing Future,414,HHD,HHD,HH,L782,Natural Gas,SwSwp HH Daily,ICEU,IFED,,,,,,
Calendar Spread Option on Henry Penultimate 1-Month Calendar Spread Future,3267,HHM,HHM,,,Natural Gas,Henry CSO,ICEU,IFED,,,,,,
Henry Penultimate 1-Month Calendar Spread Future,3267,HHM,HHM,,,Natural Gas,Henry CSO,ICEU,IFED,,,,,,
Henry Index Future,457,HIS,HIS,NX,NA91,Natural Gas,Basis Master,ICEU,IFED,,,,,,
